station_cd,station_g_cd,station_name,station_name_k,station_name_r,line_cd,pref_cd,add,lon,lat,open_ymd,close_ymd,e_status,e_sort
1110323,1110323,EBETSU,,,11103,1,hokkaido ebetsu-shi hagigaoka,141.55679,43.110189,,,0,1110323
1110324,1110324,TOYOHORO,,,11103,1,hokkaido ebetsu-shi toyohoro,141.62466,43.136446,,,0,1110324
1110325,1110325,HOROMUI,,,11103,1,hokkaido iwamizawa-shi horomui minami1-jo,141.655839,43.151348,,,0,1110325
1110326,1110326,KAMIHOROMUI,,,11103,1,hokkaido iwamizawa-shi kamihoromui minami1-jo,141.715391,43.18183,,,0,1110326
1110327,1110327,IWAMIZAWA,,,11103,1,hokkaido iwamizawa-shi ariakecho minami,141.759359,43.204201,,,0,1110327
1110328,1110328,MINENOBU,,,11103,1,hokkaido bibai-shi,141.814673,43.264694,,,0,1110328
1110329,1110329,KOSHUNAI,,,11103,1,hokkaido bibai-shi,141.844655,43.292658,,,0,1110329
1110330,1110330,BIBAI,,,11103,1,hokkaido bibai-shi higashi1-jo minami,141.862157,43.330751,,,0,1110330
1110331,1110331,CHASHINAI,,,11103,1,hokkaido bibai-shi chashinaicho,141.87336,43.369842,,,0,1110331
1110332,1110332,NAIE,,,11103,1,hokkaido naie-cho sorachi-gun hommachi,141.889115,43.423718,,,0,1110332
1110333,1110333,YUTAKANUMA,,,11103,1,hokkaido sunagawa-shi toyonumacho,141.901032,43.464224,,,0,1110333
1110334,1110334,SUNAKAWA,,,11103,1,hokkaido sunagawa-shi higashi2-jokita,141.909642,43.493468,,,0,1110334
1110335,1110335,TAKIGAWA,,,11103,1,hokkaido takikawa-shi sakaemachi,141.900807,43.555278,,,0,1110335
1110336,1110336,EBEOTSU,,,11103,1,hokkaido takikawa-shi ebeotsucho nishi,141.935937,43.627564,,,0,1110336
1110337,1110337,MOSEUSHI,,,11103,1,hokkaido moseushi-cho uryu-gun,141.966591,43.690841,,,0,1110337
1110338,1110338,FUKAGAWA,,,11103,1,hokkaido fukagawa-shi 1-jo,142.041642,43.721021,,,0,1110338
1110339,1110339,OSAMUNAI,,,11103,1,hokkaido fukagawa-shi osamunaicho,142.130072,43.732509,,,0,1110339
1110340,1110340,INO,,,11103,1,hokkaido asahikawa-shi etambetsucho kasuga,142.27167,43.763305,,,0,1110340
1110341,1110341,KOMBUN,,,11103,1,hokkaido asahikawa-shi chikabumicho,142.325327,43.789193,,,0,1110341
1110342,1110342,ASAHIKAWA,,,11103,1,hokkaido asahikawa-shi miyashitadori,142.357803,43.763492,,,0,1110342
1110401,1110138,OSHAMAMBE,,,11104,1,hokkaido oshamambe-cho yamakoshi-gun akebonocho,140.37507,42.512477,,,0,1110401
1110402,1110402,SHIZUKARI,,,11104,1,hokkaido oshamambe-cho yamakoshi-gun shizukari,140.460025,42.584065,,,0,1110402
1110403,1110403,SHOHORO,,,11104,1,hokkaido toyora-cho abuta-gun rebunge,140.537361,42.589731,,,0,1110403
1110404,1110404,REBUN,,,11104,1,hokkaido toyora-cho abuta-gun rebunge,140.595013,42.580422,,,0,1110404
1110405,1110405,OKISHI,,,11104,1,hokkaido toyora-cho abuta-gun okishi,140.639036,42.585969,,,0,1110405
1110406,1110406,TOYORA,,,11104,1,hokkaido toyora-cho abuta-gun asahicho,140.71536,42.580323,,,0,1110406
1110407,1110407,TOYA,,,11104,1,hokkaido toyako-cho abuta-gun asahicho,140.763959,42.55055,,,0,1110407
1110408,1110408,USU,,,11104,1,hokkaido date-shi usucho,140.793969,42.513267,,,0,1110408
1110409,1110409,NAGAWA,,,11104,1,hokkaido date-shi nagawacho,140.833783,42.488262,,,0,1110409
1110410,1110410,DATEMOMBETSU,,,11104,1,hokkaido date-shi yamashitacho,140.855802,42.469395,,,0,1110410
1110411,1110411,KITAFUNAOKA,,,11104,1,hokkaido date-shi funaokacho,140.880259,42.450528,,,0,1110411
1110412,1110412,MAREPPU,,,11104,1,hokkaido date-shi minamimarefucho,140.898836,42.425567,,,0,1110412
1110413,1110413,OGON,,,11104,1,hokkaido date-shi minamikoganecho,140.907781,42.386441,,,0,1110413
1110414,1110414,SAKIMORI,,,11104,1,hokkaido muroran-shi sakimoricho,140.927141,42.373968,,,0,1110414
1110415,1110415,MOTOWANISHI,,,11104,1,hokkaido muroran-shi motowanishicho,140.977561,42.358734,,,0,1110415
1110416,1110416,MURORAN,,,11104,1,hokkaido muroran-shi iriecho,140.97571,42.317864,,,0,1110416
1110417,1110417,HAHAKOI,,,11104,1,hokkaido muroran-shi bokoi kitamachi,140.990018,42.317295,,,0,1110417
1110418,1110418,MISAKI,,,11104,1,hokkaido muroran-shi misakicho,140.993881,42.329014,,,0,1110418
1110419,1110419,WANISHI,,,11104,1,hokkaido muroran-shi nakamachi,141.005743,42.333775,,,0,1110419
1110420,1110420,HIGASHIMURORAN,,,11104,1,hokkaido muroran-shi higashimachi,141.026411,42.349374,,,0,1110420
1110421,1110421,WASHIBETSU,,,11104,1,hokkaido noboribetsu-shi washibetsucho,141.042759,42.35953,,,0,1110421
1110422,1110422,HOROBETSU,,,11104,1,hokkaido noboribetsu-shi horobetsucho,141.107293,42.409782,,,0,1110422
1110423,1110423,TOMIURA,,,11104,1,hokkaido noboribetsu-shi tomiuracho,141.156878,42.441957,,,0,1110423
1110424,1110424,NOBORIBETSU,,,11104,1,hokkaido noboribetsu-shi noboribetsu minatocho,141.180931,42.45207,,,0,1110424
1110425,1110425,KOJOHAMA,,,11104,1,hokkaido shiraoi-cho shiraoi-gun kojohama,141.215092,42.464695,,,0,1110425
1110426,1110426,TAKEURA,,,11104,1,hokkaido shiraoi-cho shiraoi-gun takeura,141.260395,42.49284,,,0,1110426
1110427,1110427,KITAYOSHIHARA,,,11104,1,hokkaido shiraoi-cho shiraoi-gun kitayoshihara,141.286199,42.509119,,,0,1110427
1110428,1110428,HAGINO,,,11104,1,hokkaido shiraoi-cho shiraoi-gun hagino,141.30603,42.521159,,,0,1110428
1110429,1110429,SHIRAOI,,,11104,1,hokkaido shiraoi-cho shiraoi-gun higashimachi,141.360054,42.55474,,,0,1110429
1110430,1110430,SHADAI,,,11104,1,hokkaido shiraoi-cho shiraoi-gun shadai,141.417433,42.578682,,,0,1110430
1110431,1110431,NISHIKIOKA,,,11104,1,hokkaido tomakomai-shi nishikioka,141.48722,42.6025,,,0,1110431
1110432,1110432,ITOI,,,11104,1,hokkaido tomakomai-shi hiyoshicho,141.546187,42.6225,,,0,1110432
1110433,1110433,AOBA,,,11104,1,hokkaido tomakomai-shi aobacho,141.568278,42.62999,,,0,1110433
1110434,1110434,TOMAKOMAI,,,11104,1,hokkaido tomakomai-shi omotemachi,141.596837,42.639665,,,0,1110434
1110501,1110434,TOMAKOMAI,,,11105,1,hokkaido tomakomai-shi omotemachi,141.596837,42.639665,,,0,1110501
1110502,1110502,NUMANOHATA,,,11105,1,hokkaido tomakomai-shi numanohata,141.693132,42.672057,,,0,1110502
